driverId,week,hours-logged,miles-logged
19,45,69,4000
52,51,56,3400
14,15,68,2500
11,45,54,1500
36,17,64,600
72,25,76,900
84,4,79,1900
35,50,77,800
48,13,75,1900
79,30,55,2800
108,48,54,3000
45,19,61,3700
33,17,54,3500
67,14,55,2100
107,36,80,1400
28,20,66,3000
36,45,61,400
102,1,56,2000
91,36,74,3000
11,16,50,2400
56,44,80,3800
31,43,74,3300
41,5,62,1300
68,46,65,800
19,36,61,300
99,26,53,1000
44,39,73,1700
22,9,62,2100
95,19,54,3600
54,29,75,1300
53,39,66,3300
72,34,79,900
26,8,50,900
87,18,60,3100
68,3,68,2400
40,11,79,600
41,3,57,200
59,27,78,2000
66,29,72,2700
51,37,67,1800
102,41,55,2400
53,48,60,300
19,39,64,3200
20,22,57,2200
86,49,80,3800
56,32,69,2600
75,12,64,1500
100,30,65,3100
42,5,69,1900
100,48,51,2000
94,9,54,2300
52,21,56,800
105,30,53,3700
67,42,69,3800
94,6,70,0
24,33,51,3300
101,35,80,3000
59,20,75,1000
14,38,67,1000
19,31,77,500
55,51,58,1100
102,51,66,500
34,35,66,300
78,31,66,800
68,38,69,3300
36,52,80,700
53,48,56,0
43,24,76,3600
101,47,54,1300
82,14,70,1400
78,10,78,2000
72,41,53,2000
57,48,51,2600
37,19,57,300
109,49,62,1800
39,7,54,2200
14,31,60,100
98,47,50,3400
17,6,68,1800
28,12,66,1400
11,12,64,3900
93,5,72,3000
66,19,52,3200
90,9,76,2800
82,36,73,900
64,34,65,2900
73,33,60,3700
69,4,71,2300
44,24,60,2900
51,50,59,2700
99,17,64,2300
22,2,50,2900
13,1,50,3100
50,1,60,1000
88,27,50,2700
60,11,55,800
65,30,57,300
70,40,68,3800
67,4,57,0
28,19,60,3000
76,9,70,1100
13,39,65,2900
57,18,67,3300
18,34,78,1100
44,36,72,2500
102,12,74,3400
63,18,65,1200
73,17,60,400
65,25,80,1600
55,16,52,2900
80,21,79,2700
102,11,65,100
80,25,58,3500
22,22,55,1800
40,36,52,1000
13,47,71,800
38,51,53,3200
89,24,70,600
109,4,56,3100
13,42,60,3100
68,34,72,2300
107,35,78,1800
46,13,61,4000
90,46,57,2300
50,31,55,3000
46,42,67,1400
33,27,75,1400
106,32,63,800
84,2,64,3200
12,44,72,2700
100,41,62,3200
75,27,68,700
40,41,77,1400
108,8,80,1500
72,31,53,3800
17,33,65,3500
75,8,59,3600
46,18,68,800
66,8,65,2300
34,16,61,3200
31,17,59,0
69,7,64,1600
48,51,62,2000
81,4,62,1100
22,12,73,3000
105,29,80,2600
108,37,53,3600
69,50,57,1800
23,24,80,3900
13,25,67,3700
35,45,72,3600
92,48,66,3800
72,32,60,2800
73,22,71,200
17,40,57,100
34,45,64,900
107,27,77,3800
75,40,73,200
78,27,62,900
101,46,56,1300
48,47,80,2200
66,51,80,2800
66,33,74,3500
24,33,80,2000
49,10,59,2800
29,18,54,2400
10,39,76,100
50,21,60,300
19,2,57,2100
81,40,53,3000
35,45,78,1000
34,11,59,3500
29,7,58,800
61,43,53,200
49,10,59,500
13,26,76,800
63,7,59,2300
63,52,67,3300
100,35,70,1300
104,1,64,3800
84,20,61,1700
75,39,52,400
49,34,57,3000
99,50,55,700
10,9,72,700
60,29,76,3100
75,15,55,200
46,42,75,2100
17,11,67,3300
71,14,54,800
43,3,58,3100
20,46,64,2700
55,17,76,2400
16,1,77,3700
72,3,77,1400
40,51,69,2700
93,34,59,2200
90,7,68,2800
80,24,63,3500
80,37,56,3100
73,11,55,3800
82,37,56,3300
15,41,78,1100
51,18,57,3800
100,29,76,1200
38,47,71,400
101,6,61,2600
98,14,56,3500
61,18,78,1400
38,1,76,2800
94,40,61,800
41,34,79,2700
66,39,60,0
83,35,71,600
100,15,73,3600
58,52,51,0
43,42,66,2000
62,4,64,2300
67,40,50,3300
25,38,74,600
57,22,72,1100
37,50,76,400
70,33,57,700
22,25,65,300
89,45,60,3400
105,34,55,100
107,52,80,2500
68,38,67,3900
99,39,58,3200
61,15,65,2200
60,4,63,1000
101,7,50,300
68,1,62,1900
48,51,61,1300
92,3,62,1900
10,49,70,1100
45,29,63,2800
59,22,54,500
33,20,64,2900
57,25,72,2900
104,31,61,3600
72,26,77,3600
78,49,52,4000
108,26,59,1600
72,26,58,2500
14,8,55,2800
91,8,62,4000
95,13,52,1400
53,25,52,400
74,33,60,3800
